Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,Position
108,Derrick Williams,2011,1,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,19,11.03,3.23,4
109,Nolan Smith,2011,1,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,9,11.05,3.17,1
110,Kenneth Faried,2011,1,78,79.5,84,108,35,143,30.5,138.5,225,6.3,16,11.35,3.26,4
111,Marshon Brooks,2011,1,76.25,77.25,85,101,38.5,139.5,34,135,195,5.2,5,10.74,3.09,2
112,Jordan Hamilton,2011,1,78.75,80.5,81.5,104,32,136,25,129,228,9.8,7,11.47,3.3,3
113,JaJuan Johnson (Purdue),2011,1,81,82,86,107.5,38,145.5,33.5,141,220,7.5,15,11.21,3.14,4
114,Norris Cole,2011,1,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,11,10.07,3.22,1
115,Cory Joseph,2011,1,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,5,10.75,3.27,1
116,Enes Kanter,2011,1,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,14,11.3,3.26,5
117,Jimmy Butler,2011,1,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,14,11.92,3.15,3
118,Justin Harper,2011,1,80,80.75,83.75,106,33,139,28.5,134.5,228,4,19,11.92,3.3,4
119,Kyle Singler,2011,1,79.5,80.5,82.1,106,30,136,23,129,228,10,10,11.22,3.21,3
120,Shelvin Mack,2011,1,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,17,11.23,3.18,1
122,Jordan Williams,2011,1,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,10,12.74,3.45,5
123,Trey Thompkins,2011,1,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,15,11.72,3.41,4
124,Chandler Parsons,2011,1,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,4,11.05,3.29,3
125,Jeremy Tyler,2011,1,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,10,11.26,3.29,5
126,Tristan Thompson,2011,1,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,9,10.92,3.26,4
127,Jon Leuer,2011,1,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,17,10.82,3.36,4
128,Darius Morris,2011,1,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,12,11,3.2,1
129,Malcolm Lee,2011,1,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,17,11.2,3.09,1
130,Charles Jenkins,2011,1,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,16,11.68,3.18,2
131,Andrew Goudelock,2011,1,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,4,10.33,3.1,2
132,Travis Leslie,2011,1,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,10,11,3.13,5
133,Keith Benson,2011,1,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,12,11.88,3.35,5
134,Josh Selby,2011,1,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,5,11.13,3.2,1
135,Jon Diebler,2011,1,77.25,78.5,78,99,35,134,28,127,197,8.5,2,10.94,3.37,2
138,Isaiah Thomas,2011,1,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,13,10.49,3.14,1
139,Brandon Knight,2011,1,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,10,10.74,3.07,1
